"Rank","CryptoCurrency","Market Cap.","Price","Circulating Supply","Volume (24h)","Change (24h)","DateTime"
24,"Chainlink","$3,726,402,903","$7.58","491,599,971","$207,762,685","2.84 %",2022-10-09 22:12:07
25,"Ethereum Classic","$3,700,118,179","$26.95","137,294,095","$193,812,896","0.01 %",2022-10-09 22:12:07
26,"Stellar","$3,283,710,457","$0.13","25,540,263,776","$138,738,993","2.97 %",2022-10-09 22:12:07
27,"FTX","$3,219,829,568","$24.10","133,618,095","$19,157,490","0.13 %",2022-10-09 22:12:07
28,"NEAR Protocol","$2,822,349,303","$3.51","803,829,008","$62,283,597","1.06 %",2022-10-09 22:12:07
29,"Cronos","$2,699,383,543","$0.11","25,263,013,692","$13,805,396","0.04 %",2022-10-09 22:12:07
30,"Monero","$2,654,761,058","$146.21","18,147,820","$47,701,845","0.38 %",2022-10-09 22:12:07
31,"Algorand","$2,375,239,442","$0.34","7,015,289,462","$64,953,577","1.52 %",2022-10-09 22:12:07
32,"Bitcoin Cash","$2,241,006,614","$116.78","19,196,312","$462,094,350","0.69 %",2022-10-09 22:12:07
33,"Quant","$2,134,238,438","$159.16","13,413,953","$112,724,287","7.63 %",2022-10-09 22:12:07
34,"Terra Luna Classic","$2,090,208,883","$0.00","6,892,534,362,919","$281,250,500","3.69 %",2022-10-09 22:12:07
35,"Flow","$1,765,047,435","$1.70","1,036,200,000","$20,162,300","1.61 %",2022-10-09 22:12:07
36,"VeChain","$1,676,852,849","$0.02","72,511,146,418","$40,451,882","1.07 %",2022-10-09 22:12:07
38,"Filecoin","$1,607,808,220","$5.42","296,450,921","$46,718,521","0.98 %",2022-10-09 22:12:07
39,"Internet Computer","$1,535,113,994","$5.85","262,679,100","$20,139,120","-0.15 %",2022-10-09 22:12:07
41,"Hedera","$1,467,978,716","$0.06","24,345,950,931","$24,363,377","0.34 %",2022-10-09 22:12:07
43,"Elrond","$1,323,349,440","$55.98","23,645,687","$32,293,215","3.41 %",2022-10-09 22:12:07
44,"Tezos","$1,296,613,473","$1.43","903,991,690","$10,357,362","2.19 %",2022-10-09 22:12:07
45,"Decentraland","$1,254,832,072","$0.69","1,813,327,036","$50,291,518","0.57 %",2022-10-09 22:12:07
47,"Chiliz","$1,152,956,993","$0.22","5,344,064,580","$112,527,030","0.93 %",2022-10-09 22:12:07
48,"Axie Infinity","$1,138,358,992","$12.48","91,208,813","$34,891,474","1.35 %",2022-10-09 22:12:07
49,"EOS","$1,134,234,730","$1.12","1,011,169,966","$106,600,651","1.25 %",2022-10-09 22:12:07
50,"Aave","$1,064,815,453","$75.42","14,120,257","$56,068,410","1.56 %",2022-10-09 22:12:07
51,"Theta Network","$1,060,238,685","$1.06","1,000,000,000","$9,930,640","0.95 %",2022-10-09 22:12:07
53,"cUSDC","$966,182,103","$0.02","42,631,733,040","$0","0.00 %",2022-10-09 22:12:07
54,"Bitcoin SV","$959,980,210","$50.02","19,192,183","$23,907,436","0.30 %",2022-10-09 22:12:07
56,"Pax Dollar","$901,571,748","$1.00","901,957,653","$3,601,740","0.00 %",2022-10-09 22:12:07
57,"TrueUSD","$897,535,935","$1.00","898,769,136","$47,247,098","-0.12 %",2022-10-09 22:12:07
58,"KuCoin","$881,865,657","$9.03","97,724,483","$685,895","0.78 %",2022-10-09 22:12:07
59,"Maker","$798,585,257","$886.29","901,311","$19,549,497","1.85 %",2022-10-09 22:12:07
60,"BitTorrent","$2,498,507,941","$0.00","932,497,500,000","$1,038,436","-2.73 %",2022-10-09 22:12:07
61,"eCash","$780,541,531","$0.00","19,193,179,673,303","$14,760,497","-0.19 %",2022-10-09 22:12:07
62,"IOTA","$760,353,411","$0.27","2,779,530,283","$13,997,201","2.63 %",2022-10-09 22:12:07
64,"The Graph","$714,397,305","$0.10","7,400,273,157","$10,819,217","0.00 %",2022-10-09 22:12:07
65,"Zcash","$707,621,071","$54.87","12,897,335","$21,296,318","0.80 %",2022-10-09 22:12:07
66,"PancakeSwap","$656,329,728","$4.54","144,763,832","$28,250,744","0.50 %",2022-10-09 22:12:07
67,"cDAI","$646,295,236","$0.02","29,249,304,938","$65","-0.02 %",2022-10-09 22:12:07
68,"Gate","$632,936,924","$4.35","145,377,817","$2,033,984","0.48 %",2022-10-09 22:12:07
69,"NEO","$601,552,487","$8.53","70,530,000","$18,082,108","0.92 %",2022-10-09 22:12:07
70,"Helium","$597,609,975","$4.60","129,878,819","$9,033,807","1.67 %",2022-10-09 22:12:07
72,"Klaytn","$576,389,308","$0.19","3,059,761,843","$8,208,154","1.14 %",2022-10-09 22:12:07
73,"Fantom","$563,932,138","$0.22","2,541,152,731","$79,375,517","0.80 %",2022-10-09 22:12:07
74,"cETH","$542,813,009","$26.52","20,470,072","$7","-0.40 %",2022-10-09 22:12:07
75,"Synthetix Network","$537,600,343","$2.24","239,553,481","$14,195,694","1.61 %",2022-10-09 22:12:07
76,"Huobi","$536,304,100","$4.09","130,991,704","$10,071,535","-3.84 %",2022-10-09 22:12:07
79,"PAX Gold","$513,794,760","$1,689.01","304,203","$2,202,231","0.31 %",2022-10-09 22:12:07
81,"NEXO","$493,863,522","$0.88","560,000,010","$1,774,746","1.67 %",2022-10-09 22:12:07
82,"Zilliqa","$488,451,343","$0.03","14,931,397,820","$45,430,870","3.58 %",2022-10-09 22:12:07
83,"THORChain","$482,104,956","$1.61","300,700,561","$20,946,059","3.53 %",2022-10-09 22:12:07
84,"Dash","$470,815,582","$42.99","10,950,093","$47,388,927","1.93 %",2022-10-09 22:12:07
86,"Celsius Network","$459,644,072","$1.09","423,415,980","$6,455,951","-3.27 %",2022-10-09 22:12:07
88,"Enjin Coin","$452,956,584","$0.45","1,000,000,000","$15,633,389","1.92 %",2022-10-09 22:12:07
89,"Basic Attention","$451,154,379","$0.30","1,497,265,277","$15,247,017","1.43 %",2022-10-09 22:12:07
90,"Stacks","$451,922,718","$0.34","1,338,039,615","$17,511,938","3.17 %",2022-10-09 22:12:07
91,"Kava","$446,819,835","$1.54","290,492,055","$6,169,556","0.68 %",2022-10-09 22:12:07
92,"XDC Network","$446,675,342","$0.03","13,785,356,064","$3,602,522","1.19 %",2022-10-09 22:12:07
93,"Arweave","$443,378,006","$8.85","50,108,502","$8,105,988","0.18 %",2022-10-09 22:12:07
95,"Ravencoin","$419,015,890","$0.04","11,755,108,546","$12,255,169","1.73 %",2022-10-09 22:12:07
97,"Tether Gold","$416,970,542","$1,691.40","246,524","$410,970","-0.07 %",2022-10-09 22:12:07
98,"DxChain Token","$94,790,225","$0.00","0","$156,923","3.37 %",2022-10-09 22:12:07
98,"Mina Protocol","$410,755,297","$0.58","702,440,981","$4,315,575","0.55 %",2022-10-09 22:12:07
99,"Compound","$407,019,201","$59.39","6,856,086","$14,412,487","2.09 %",2022-10-09 22:12:07
100,"Aave LINK","$330,885,424","$25.19","0","$11,646,285","3.32 %",2022-10-09 22:12:07
1173,"Perth Mint Gold Token","$2,065,882","$1,786.56","1,157","$12,755","-0.03 %",2022-10-09 22:12:07
1508,"Digix Gold Token","$1,169,772","$45.22","25,792","$0","-1.00 %",2022-10-09 22:12:07
5920,"AurusGOLD","$0","$58.85","0","$41,716","-0.09 %",2022-10-09 22:12:07
